1 1 2 278256 278256
2 6 6 179976 458232
3 7 7 197526 655758
4 20 11 127511 783269
5 21 11 103725 886994
6 20 9.5 127720 1014714
7 14 6.66667 93930 1108644
8 39 16.3333 99605 1208249
9 25 9 28731 1236980
10 62 21.1667 59656 1296636
11 93 35.3333 111302 1407938
12 264 71.9333 66822 1474760
13 300 75.1667 88984 1563744
14 162 46.9167 100386 1664130
15 131 35.0833 32647 1696777
16 1 1 40920 1737697
17 248 69.3 91714 1829411
18 296 68.1833 18503 1847914
19 125 27.6333 9082 1856996
20 384 84.4333 12132 1869128
21 60 16.8333 18487 1887615
22 175 38.2 11852 1899467
23 217 60.7667 96623 1996090
24 301 72.6333 33804 2029894
25 269 58.2 9219 2039113
26 65 16.3167 9711 2048824
27 227 50.6 11479 2060303
28 180 51.2833 122086 2182389
29 111 32.0833 43100 2225489
30 167 41.5333 58493 2283982
31 129 31.1 10870 2294852
32 89 20.3333 4879 2299731
33 169 36.2 1403 2301134
34 276 58.2833 3269 2304403
35 330 77.0833 28817 2333220
36 242 57.75 36985 2370205
37 158 46.1833 40534 2410739
38 191 55.45 113387 2524126
39 257 58.8167 22256 2546382
40 425 95.4333 14580 2560962
41 419 90.45 8391 2569353
42 199 55.8 41677 2611030
43 104 22.5833 3430 2614460
44 329 82.6667 57397 2671857
45 144 29.85 703 2672560
46 182 38.3333 1572 2674132
47 327 72.7333 10075 2684207
48 260 57.65 7965 2692172
49 206 46.0667 6409 2698581
50 229 49.2333 3372 2701953
51 124 29.5333 4886 2706839
52 77 15.8 301 2707140
53 248 55.3667 10328 2717468
54 88 19.4333 41884 2759352
55 242 65.7833 55580 2814932
56 38 7.75 124 2815056
57 363 87.8167 29727 2844783
58 213 56.55 57538 2902321
59 247 56.15 13479 2915800
60 180 40.4 8048 2923848
61 164 39.7167 8944 2932792
62 143 30.05 908 2933700
63 89 19.4 2007 2935707
64 146 33.05 4255 2939962
65 305 68.3833 9020 2948982
66 66 14.1333 924 2949906
67 154 37.7833 15195 2965101
68 169 43.3333 72056 3037157
69 69 14.45 420 3037577
70 110 25.6833 17530 3055107
71 233 54.5667 8700 3063807
72 113 23 323 3064130
73 128 33.7 67054 3131184
74 288 69.1333 43625 3174809
75 136 30.5 3909 3178718
76 174 43.8167 58175 3236893
77 41 8.25 70 3236963
78 177 45.1833 22250 3259213
79 224 50.5167 53224 3312437
80 200 50.9 28858 3341295
81 677 169.85 111126 3452421
82 62 13.3333 2003 3454424
83 62 12.55 146 3454570
84 3 0.6 3 3454573
85 23 4.6 23 3454596
86 287 61.35 3337 3457933
87 290 65.3667 12520 3470453
88 190 41.25 1803 3472256
89 129 26.7 605 3472861
90 24 4.85 53 3472914
91 158 34.5667 2365 3475279
92 155 32.85 1124 3476403
93 203 47.9333 27982 3504385
94 113 30.15 26998 3531383
95 188 41.95 7616 3538999
96 150 32.4 1408 3540407
97 623 146.483 55230 3595637
98 146 34.25 10190 3605827
99 952 215.233 74722 3680549
100 476 103.717 6236 3686785
101 635 144.233 19785 3706570
102 6 1.25 35 3706605
103 411 87.9667 5939 3712544
104 494 105.433 5191 3717735
105 24 4.8 24 3717759
106 438 97.0833 9963 3727722
107 142 28.7 313 3728035
108 288 60.2667 2399 3730434
109 84 18.7833 1472 3731906
110 82 20.4333 15963 3747869
111 751 179.833 81393 3829262
112 41 8.8 357 3829619
113 206 43.8167 2260 3831879
114 57 11.8 277 3832156
115 328 69.3333 2534 3834690
116 13 2.65 42 3834732
117 92 20.6 2334 3837066
118 24 4.8 24 3837090
119 20 4.35 213 3837303
120 11 2.5 178 3837481
121 471 107.233 19675 3857156
122 73 14.95 271 3857427
123 11 2.2 11 3857438
124 2 0.4 2 3857440
125 92 18.7 257 3857697
126 54 14.4 10000 3867697
127 63 13.2 393 3868090
128 65 13.7667 1226 3869316
129 48 10.3 421 3869737
130 259 54.3167 2290 3872027
131 2 1 9455 3881482
132 53 11.45 512 3881994
133 307 64.6 4025 3886019
134 197 43.3167 13526 3899545
135 184 40.5333 3377 3902922
136 62 13.25 517 3903439
137 196 40.55 903 3904342
138 10 2 10 3904352
139 344 78.4333 25498 3929850
140 236 50.95 2139 3931989
141 36 8.88333 2345 3934334
142 69 19.0833 15440 3949774
143 477 100.55 4127 3953901
144 207 46.5333 9594 3963495
145 16 3.2 16 3963511
146 33 6.75 117 3963628
147 8 1.6 8 3963636
148 64 13.3 334 3963970
149 59 13.2333 1176 3965146
150 182 36.55 268 3965414
151 31 7.2 545 3965959
152 59 13.1 698 3966657
153 64 14.05 713 3967370
154 171 35.15 684 3968054
155 113 22.85 252 3968306
156 76 18.8167 6176 3974482
157 39 7.85 68 3974550
158 505 108.417 6769 3981319
159 239 52.85 4494 3985813
160 27 5.5 85 3985898
161 31 7.08333 1894 3987792
162 8 1.65 37 3987829
163 1 0.2 1 3987830
164 407 87.4667 4960 3992790
165 271 64.3 17727 4010517
166 61 12.5167 987 4011504
167 0 0 0 4011504
168 13 2.6 13 4011517
169 101 22 1013 4012530
170 30 6.65 1463 4013993
171 14 3.33333 692 4014685
172 21 4.25 50 4014735
173 87 18.8 1893 4016628
174 45 11.5333 4415 4021043
175 8 1.6 8 4021051
176 111 25.7833 9848 4030899
177 32 6.55 118 4031017
178 174 34.8 174 4031191
179 32 6.4 32 4031223
180 167 36.8667 2629 4033852
181 253 53.0333 1844 4035696
182 452 102.417 29723 4065419
183 69 15.6333 2435 4067854
184 229 53.5667 14864 4082718
185 130 27.2 756 4083474
186 135 33.0667 11284 4094758
187 194 40.1833 2340 4097098
188 8 1.7 65 4097163
